issue_type,severity,show_to_customer,employee_notification_ar,customer_notification_ar,customer_notification_en,suggested_action,escalate_after_attempts
normal,low,0,لا يوجد أي خلل حاليًا في الشبكة. لا حاجة لاتخاذ إجراء.,الخدمة تعمل بشكل طبيعي حاليًا.,The service is operating normally at the moment.,no_action,0
high_latency,medium,1,تم رصد ارتفاع في زمن التأخير بالشبكة. يرجى التحقق من الضغط الحالي على الشبكة.,يوجد بطء أو تأخير في الشبكة حاليًا، ونعمل على معالجة المشكلة.,"There is currently high latency in the network, and we are working on resolving it.",check_latency_and_congestion,2
weak_signal,medium,1,تم رصد ضعف في الإشارة في إحدى المناطق. يرجى فحص التغطية وجودة الإشارة.,جودة الإشارة ضعيفة في منطقتك حاليًا، وقد يؤثر ذلك على جودة الخدمة.,Signal quality is currently weak in your area and may affect service quality.,check_signal_strength,2
network_congestion,medium,1,تم رصد ازدحام في الشبكة. يرجى مراقبة الحمل على الشبكة وتوزيع الموارد.,هناك ضغط مرتفع على الشبكة حاليًا، وقد تلاحظ بطئًا مؤقتًا في الخدمة.,"There is currently heavy network congestion, which may cause temporary slow service.",check_network_load,2
packet_loss,medium,1,تم رصد ارتفاع في فقدان الحزم. يرجى التحقق من استقرار الاتصال ومسار الشبكة.,تم رصد مشكلة في استقرار الاتصال، وقد يؤثر ذلك على جودة المكالمات أو الإنترنت.,A connection stability issue has been detected and may affect call or internet quality.,check_packet_loss,2
service_degradation,high,1,تم رصد تدهور في جودة الخدمة. يرجى فحص المؤشرات الأساسية والتعامل مع السبب الجذري.,تم رصد انخفاض في جودة الخدمة في منطقتك، ونعمل على حل المشكلة في أسرع وقت.,"A service degradation has been detected in your area, and we are working to resolve it as soon as possible.",check_qos_metrics,1
outage,critical,1,إنذار: يوجد انقطاع محتمل أو فعلي في الشبكة. يرجى التدخل الفوري وفتح تذكرة عاجلة.,يوجد انقطاع في الخدمة حاليًا في منطقتك، وجارٍ العمل على إصلاحه.,"There is currently a service outage in your area, and repairs are in progress.",open_critical_ticket,1
maintenance,medium,1,يوجد نشاط صيانة أو إصلاح قد يؤثر على جودة الخدمة. يرجى متابعة التنفيذ والتحديثات.,توجد أعمال صيانة جارية قد تؤثر مؤقتًا على جودة الخدمة.,Ongoing maintenance work may temporarily affect service quality.,maintenance_followup,0
unstable_connection,high,1,تم رصد اتصال غير مستقر. يرجى مراجعة مؤشرات jitter و packet loss و latency.,تم رصد عدم استقرار في الاتصال، وقد تواجه تقطعًا أو بطئًا مؤقتًا.,An unstable connection has been detected and you may experience temporary interruptions or slowness.,check_jitter_packetloss_latency,1
prediction_alert,high,0,تنبيه استباقي: المودل يتوقع احتمال حدوث مشكلة قريبة في الشبكة. يرجى اتخاذ إجراء وقائي.,نراقب جودة الشبكة في منطقتك بشكل استباقي لتحسين استقرار الخدمة.,We are proactively monitoring network quality in your area to improve service stability.,preventive_check,1
